Date,Season,Month,WY,WYS,P301,P303,P304,D102,P300,B201,B203,B204,T003,B200
10/20/2003,1,10,2004,200401,0.0316,0.0673,0.4839,0.0672,-9999,0.167,0.115,0.102,0.223,-9999
10/21/2003,1,10,2004,200401,0.0317,0.0669,0.4848,0.0677,-9999,0.169,0.116,0.101,0.226,-9999
10/22/2003,1,10,2004,200401,0.0310,0.0666,0.4846,0.0673,-9999,0.167,0.114,0.100,0.225,-9999
10/23/2003,1,10,2004,200401,0.0324,0.0678,0.4893,0.0709,-9999,0.169,0.113,0.101,0.227,-9999
10/24/2003,1,10,2004,200401,0.0327,0.0660,0.4826,0.0682,-9999,0.169,0.113,0.099,0.227,-9999
10/25/2003,1,10,2004,200401,0.0304,0.0657,0.4770,0.0670,-9999,0.169,0.111,0.098,0.222,-9999
10/26/2003,1,10,2004,200401,0.0293,0.0655,0.4797,0.0684,-9999,0.170,0.113,0.098,0.223,-9999
10/27/2003,1,10,2004,200401,0.0292,0.0655,0.4776,0.0671,-9999,0.169,0.117,0.098,0.215,-9999
10/28/2003,1,10,2004,200401,0.0286,0.0652,0.4763,0.0680,-9999,0.180,0.101,0.098,0.225,-9999
10/29/2003,1,10,2004,200401,0.0295,0.0656,0.4775,0.0697,-9999,0.183,0.094,0.098,0.228,-9999
10/30/2003,1,10,2004,200401,0.0413,0.0715,0.5014,0.0807,-9999,0.192,0.086,0.106,0.245,-9999
10/31/2003,1,10,2004,200401,0.0695,0.0785,0.5364,0.0893,-9999,0.221,0.084,0.117,0.280,-9999
11/1/2003,1,11,2004,200401,0.0849,0.0811,0.5465,0.1004,-9999,0.278,0.098,0.124,0.312,-9999
11/2/2003,1,11,2004,200401,0.0882,0.0817,0.5409,0.1082,-9999,0.242,0.102,0.125,0.316,-9999
11/3/2003,1,11,2004,200401,0.1042,0.0869,0.5921,0.1294,-9999,0.270,0.120,0.130,0.348,-9999
11/4/2003,1,11,2004,200401,0.1114,0.0859,0.5676,0.1406,-9999,0.320,0.117,0.143,0.323,-9999
11/5/2003,1,11,2004,200401,0.1106,0.0858,0.5684,0.1368,-9999,0.333,0.157,0.145,0.330,-9999
11/6/2003,1,11,2004,200401,0.1134,0.0882,0.5834,0.1362,-9999,0.310,0.197,0.149,0.352,-9999
11/7/2003,1,11,2004,200401,0.1190,0.0893,0.6042,0.1364,-9999,0.313,0.201,0.155,0.370,-9999
11/8/2003,1,11,2004,200401,0.1936,0.1259,0.8586,0.2063,-9999,0.537,0.242,0.187,0.417,-9999
11/9/2003,1,11,2004,200401,0.7116,0.1643,1.0422,0.3883,-9999,1.588,0.594,0.486,1.245,-9999
11/10/2003,1,11,2004,200401,0.2052,0.0954,0.6012,0.1582,-9999,0.483,0.326,0.257,0.533,-9999
11/11/2003,1,11,2004,200401,0.1461,0.0898,0.5786,0.1352,-9999,0.426,0.276,0.207,0.457,-9999
11/12/2003,1,11,2004,200401,0.1278,0.0886,0.5830,0.1297,-9999,0.331,0.249,0.191,0.417,-9999
11/13/2003,1,11,2004,200401,0.1483,0.0939,0.6194,0.1560,-9999,0.375,0.260,0.194,0.420,-9999
11/14/2003,1,11,2004,200401,0.1376,0.0903,0.5850,0.1414,-9999,0.389,0.253,0.188,0.406,-9999
11/15/2003,1,11,2004,200401,0.1472,0.0963,0.6369,0.1869,-9999,0.357,0.259,0.196,0.416,-9999
11/16/2003,1,11,2004,200401,0.1617,0.0989,0.6293,0.1725,-9999,0.352,0.251,0.186,0.394,-9999
11/17/2003,1,11,2004,200401,0.1638,0.0968,0.6288,0.1643,-9999,0.402,0.265,0.193,0.411,-9999
11/18/2003,1,11,2004,200401,0.1505,0.0928,0.6001,0.1496,-9999,0.457,0.288,0.205,0.462,-9999
11/19/2003,1,11,2004,200401,0.1306,0.0891,0.5805,0.1348,-9999,0.441,0.295,0.211,0.474,-9999
11/20/2003,1,11,2004,200401,0.1232,0.0885,0.5687,0.1268,-9999,0.387,0.282,0.206,0.433,-9999
11/21/2003,1,11,2004,200401,0.1276,0.0918,0.5711,0.1309,-9999,0.342,0.263,0.195,0.426,-9999
11/22/2003,1,11,2004,200401,0.1232,0.0910,0.5529,0.1362,-9999,0.282,0.243,0.190,0.426,-9999
11/23/2003,1,11,2004,200401,0.1185,0.0910,0.5552,0.1355,-9999,0.286,0.242,0.185,0.426,-9999
11/24/2003,1,11,2004,200401,0.1186,0.0923,0.5718,0.1363,-9999,0.290,0.232,0.177,0.426,-9999
11/25/2003,1,11,2004,200401,0.1188,0.0920,0.5613,0.1362,-9999,0.283,0.233,0.172,0.426,-9999
11/26/2003,1,11,2004,200401,0.1175,0.0924,0.5538,0.1363,-9999,0.275,0.227,0.159,0.426,-9999
11/27/2003,1,11,2004,200401,0.1148,0.0923,0.5609,0.1340,-9999,0.286,0.223,0.165,0.426,-9999
11/28/2003,1,11,2004,200401,0.1177,0.0926,0.5873,0.1329,-9999,0.344,0.223,0.171,0.426,-9999
11/29/2003,1,11,2004,200401,0.1291,0.0916,0.5802,0.1338,-9999,0.419,0.223,0.177,0.426,-9999
11/30/2003,1,11,2004,200401,0.1236,0.0904,0.5615,0.1281,-9999,0.361,0.223,0.184,0.426,-9999
12/1/2003,1,12,2004,200401,0.1189,0.0908,0.5573,0.1257,-9999,0.322,0.240,0.192,0.426,-9999
12/2/2003,1,12,2004,200401,0.1158,0.0895,0.5547,0.1279,-9999,0.321,0.241,0.183,0.435,-9999
12/3/2003,1,12,2004,200401,0.1108,0.0898,0.5541,0.1283,-9999,0.296,0.227,0.175,0.425,-9999
12/4/2003,1,12,2004,200401,0.1073,0.0894,0.5506,0.1250,-9999,0.317,0.227,0.175,0.431,-9999
12/5/2003,1,12,2004,200401,0.1651,0.0966,0.6457,0.1425,-9999,0.839,0.479,0.410,0.695,-9999
12/6/2003,1,12,2004,200401,0.1850,0.0984,0.6160,0.1563,-9999,0.590,0.543,0.468,0.872,-9999
12/7/2003,1,12,2004,200401,0.8432,0.1963,1.1377,0.5153,-9999,1.392,0.707,0.587,1.047,-9999
12/8/2003,1,12,2004,200401,0.2284,0.1098,0.6316,0.2085,-9999,0.515,0.416,0.328,0.696,-9999
12/9/2003,1,12,2004,200401,0.1651,0.0991,0.5993,0.1665,-9999,0.422,0.332,0.253,0.592,-9999
12/10/2003,1,12,2004,200401,0.1756,0.1030,0.6608,0.2245,-9999,0.410,0.321,0.239,0.483,-9999
12/11/2003,1,12,2004,200401,0.1794,0.0735,0.6444,0.2241,-9999,0.400,0.282,0.219,0.374,-9999
12/12/2003,1,12,2004,200401,0.1688,0.0699,0.6087,0.2059,-9999,0.384,0.293,0.220,0.385,-9999
12/13/2003,1,12,2004,200401,0.2335,0.1177,0.6966,0.2834,-9999,0.462,0.332,0.234,0.410,-9999
12/14/2003,1,12,2004,200401,0.2100,0.1194,0.6644,0.2637,-9999,0.452,0.301,0.226,0.428,-9999
12/15/2003,1,12,2004,200401,0.1775,0.1089,0.6135,0.2123,-9999,0.404,0.301,0.214,0.426,-9999
12/16/2003,1,12,2004,200401,0.1797,0.1105,0.6062,0.2112,-9999,0.403,0.288,0.200,0.426,-9999
12/17/2003,1,12,2004,200401,0.1826,0.1327,0.6229,0.2238,-9999,0.424,0.312,0.217,0.426,-9999
12/18/2003,1,12,2004,200401,0.1932,0.1248,0.6295,0.2484,-9999,0.412,0.328,0.224,0.426,-9999
12/19/2003,1,12,2004,200401,0.2126,0.1412,0.6656,0.2803,-9999,0.409,0.339,0.226,0.426,-9999
12/20/2003,1,12,2004,200401,0.3640,0.1690,0.9238,0.4333,-9999,0.409,0.436,0.291,0.426,-9999
12/21/2003,1,12,2004,200401,0.3812,0.2106,0.8556,0.4450,-9999,0.409,0.429,0.267,0.426,-9999
12/22/2003,1,12,2004,200401,0.2550,0.1615,0.6709,0.2868,-9999,0.409,0.384,0.242,0.426,-9999
12/23/2003,1,12,2004,200401,0.3073,0.4698,0.9460,0.3957,-9999,0.409,0.376,0.243,0.426,-9999
12/24/2003,1,12,2004,200401,2.1031,1.5554,2.8449,2.6459,-9999,1.737,2.095,1.360,1.672,-9999
12/25/2003,1,12,2004,200401,2.3904,1.5519,1.5808,1.6570,-9999,1.498,2.055,1.203,1.744,-9999
12/26/2003,1,12,2004,200401,0.7670,0.6607,0.9288,0.5984,-9999,0.651,1.034,0.498,0.644,-9999
12/27/2003,1,12,2004,200401,0.5342,0.4137,0.7520,0.4232,-9999,0.594,0.825,0.415,0.542,-9999
12/28/2003,1,12,2004,200401,0.4445,0.3282,0.7339,0.3673,-9999,0.578,0.731,0.364,0.481,-9999
12/29/2003,1,12,2004,200401,0.4139,0.2929,0.7317,0.3506,-9999,0.578,0.688,0.375,0.479,-9999
12/30/2003,1,12,2004,200401,0.4179,0.2746,0.9182,0.3974,-9999,0.578,0.671,0.378,0.473,-9999
12/31/2003,1,12,2004,200401,0.3867,0.2613,0.8004,0.3844,-9999,0.575,0.655,0.356,0.471,-9999
1/1/2004,2,1,2004,200402,0.3394,0.2729,1.6027,0.3911,-9999,0.600,0.642,0.333,0.471,-9999
1/2/2004,2,1,2004,200402,0.3816,0.2612,1.5357,0.4128,-9999,0.686,0.626,0.335,0.471,-9999
1/3/2004,2,1,2004,200402,0.3390,0.2358,0.8676,0.3525,-9999,0.629,0.612,0.320,0.466,-9999
1/4/2004,2,1,2004,200402,0.3322,0.2285,0.6735,0.3271,-9999,0.600,0.598,0.293,0.463,-9999
1/5/2004,2,1,2004,200402,0.3588,0.2455,0.6887,0.3423,-9999,0.611,0.584,0.301,0.463,-9999
1/6/2004,2,1,2004,200402,0.3508,0.2555,0.7167,0.3606,-9999,0.580,0.567,0.307,0.463,-9999
1/7/2004,2,1,2004,200402,0.3630,0.2687,0.7752,0.4064,-9999,0.552,0.567,0.308,0.458,-9999
1/8/2004,2,1,2004,200402,0.3898,0.2757,0.7410,0.4548,-9999,0.596,0.577,0.309,0.456,-9999
1/9/2004,2,1,2004,200402,0.3851,0.2777,0.7195,0.4866,-9999,0.598,0.580,0.312,0.456,-9999
1/10/2004,2,1,2004,200402,0.3806,0.2809,0.7120,0.5028,-9999,0.620,0.585,0.311,0.456,-9999
1/11/2004,2,1,2004,200402,0.3768,0.2837,0.7021,0.5280,-9999,0.647,0.595,0.311,0.451,-9999
1/12/2004,2,1,2004,200402,0.3784,0.2816,0.6902,0.5338,-9999,0.636,0.597,0.306,0.448,-9999
1/13/2004,2,1,2004,200402,0.3713,0.2800,0.6832,0.5311,-9999,0.629,0.599,0.302,0.448,-9999
1/14/2004,2,1,2004,200402,0.3735,0.2815,0.6765,0.5325,-9999,0.652,0.605,0.301,0.448,-9999
1/15/2004,2,1,2004,200402,0.3698,0.2808,0.6745,0.5256,-9999,0.639,0.605,0.299,0.444,-9999
1/16/2004,2,1,2004,200402,0.3601,0.2749,0.6663,0.4943,-9999,0.620,0.615,0.295,0.441,-9999
1/17/2004,2,1,2004,200402,0.3565,0.2729,0.6616,0.4749,-9999,0.605,0.624,0.292,0.441,-9999
1/18/2004,2,1,2004,200402,0.3532,0.2710,0.6606,0.4603,-9999,0.587,0.622,0.292,0.441,-9999
1/19/2004,2,1,2004,200402,0.3504,0.2717,0.6575,0.4472,-9999,0.572,0.613,0.286,0.437,-9999
1/20/2004,2,1,2004,200402,0.3462,0.2681,0.6511,0.4286,-9999,0.555,0.601,0.279,0.433,-9999
1/21/2004,2,1,2004,200402,0.3350,0.2624,0.6408,0.4016,-9999,0.539,0.586,0.269,0.451,-9999
1/22/2004,2,1,2004,200402,0.3314,0.2600,0.6384,0.3845,-9999,0.537,0.569,0.269,0.465,-9999
1/23/2004,2,1,2004,200402,0.3312,0.2585,0.6373,0.3713,-9999,0.539,0.563,0.277,0.475,-9999
1/24/2004,2,1,2004,200402,0.3294,0.2586,0.6372,0.3640,-9999,0.531,0.556,0.274,0.475,-9999
1/25/2004,2,1,2004,200402,0.3215,0.2553,0.6232,0.3530,-9999,0.507,0.536,0.261,0.461,-9999
1/26/2004,2,1,2004,200402,0.3178,0.2548,0.6269,0.3449,-9999,0.489,0.532,0.261,0.460,-9999
1/27/2004,2,1,2004,200402,0.3256,0.2621,0.6462,0.3488,-9999,0.497,0.536,0.270,0.474,-9999
1/28/2004,2,1,2004,200402,0.3202,0.2605,0.6380,0.3448,-9999,0.497,0.521,0.260,0.460,-9999
1/29/2004,2,1,2004,200402,0.3214,0.2586,0.6375,0.3393,-9999,0.526,0.532,0.267,0.470,-9999
1/30/2004,2,1,2004,200402,0.3278,0.2601,0.6437,0.3454,-9999,0.534,0.535,0.271,0.481,-9999
1/31/2004,2,1,2004,200402,0.3283,0.2623,0.6419,0.3571,-9999,0.522,0.531,0.265,0.476,-9999
2/1/2004,2,2,2004,200402,0.3199,0.2575,0.6320,0.3397,-9999,0.512,0.517,0.258,0.465,-9999
2/2/2004,2,2,2004,200402,0.3282,0.2886,0.6574,0.4515,-9999,0.515,0.548,0.248,0.452,-9999
2/3/2004,2,2,2004,200402,0.3321,0.2753,0.7009,0.4316,-9999,0.514,0.549,0.249,0.472,-9999
2/4/2004,2,2,2004,200402,0.3168,0.2589,0.6465,0.3869,-9999,0.515,0.508,0.259,0.428,-9999
2/5/2004,2,2,2004,200402,0.3368,0.2646,0.6405,0.3884,-9999,0.503,0.522,0.276,0.423,-9999
2/6/2004,2,2,2004,200402,0.3664,0.2861,0.7071,0.4265,-9999,0.502,0.526,0.288,0.428,-9999
2/7/2004,2,2,2004,200402,0.3748,0.2927,0.6991,0.4230,-9999,0.502,0.528,0.289,0.424,-9999
2/8/2004,2,2,2004,200402,0.3424,0.2706,0.6455,0.3915,-9999,0.502,0.523,0.272,0.411,-9999
2/9/2004,2,2,2004,200402,0.3435,0.2681,0.6404,0.3914,-9999,0.502,0.509,0.274,0.413,-9999
2/10/2004,2,2,2004,200402,0.3395,0.2639,0.6339,0.3837,-9999,0.502,0.513,0.283,0.403,-9999
2/11/2004,2,2,2004,200402,0.3411,0.2638,0.6368,0.3813,-9999,0.502,0.518,0.302,0.408,-9999
2/12/2004,2,2,2004,200402,0.3388,0.2624,0.6328,0.3758,-9999,0.502,0.515,0.281,0.403,-9999
2/13/2004,2,2,2004,200402,0.3347,0.2615,0.6304,0.3722,-9999,0.502,0.516,0.280,0.398,-9999
2/14/2004,2,2,2004,200402,0.3316,0.2617,0.6307,0.3643,-9999,0.502,0.513,0.278,0.394,-9999
2/15/2004,2,2,2004,200402,0.3368,0.2614,0.6397,0.3668,-9999,0.502,0.518,0.282,0.396,-9999
2/16/2004,2,2,2004,200402,0.5795,0.3825,1.0258,0.6295,-9999,0.726,0.888,0.481,0.721,-9999
2/17/2004,2,2,2004,200402,0.5985,0.4083,0.8701,0.6944,-9999,0.769,0.893,0.506,0.574,-9999
2/18/2004,2,2,2004,200402,0.5898,0.5745,1.0658,1.3144,-9999,0.659,0.794,0.389,0.497,-9999
2/19/2004,2,2,2004,200402,0.5740,0.5124,0.8869,1.0299,-9999,0.627,0.788,0.353,0.474,-9999
2/20/2004,2,2,2004,200402,0.5358,0.4318,0.7962,0.7388,-9999,0.586,0.783,0.345,0.475,-9999
2/21/2004,2,2,2004,200402,0.4912,0.3977,0.7656,0.6662,-9999,0.562,0.783,0.340,0.471,-9999
2/22/2004,2,2,2004,200402,0.4804,0.3967,0.7854,0.7219,-9999,0.554,0.775,0.341,0.466,-9999
2/23/2004,2,2,2004,200402,0.4655,0.4064,0.7979,0.7756,-9999,0.541,0.772,0.331,0.444,-9999
2/24/2004,2,2,2004,200402,0.4562,0.3952,0.7694,0.7734,-9999,0.530,0.753,0.318,0.422,-9999
2/25/2004,2,2,2004,200402,1.2125,0.9643,1.9838,2.5349,-9999,0.628,0.744,0.320,0.429,-9999
2/26/2004,2,2,2004,200402,1.5225,1.6962,1.8312,3.3125,-9999,0.785,0.747,0.539,0.867,-9999
2/27/2004,2,2,2004,200402,0.9915,0.8793,1.1506,1.5172,-9999,0.622,0.748,0.352,0.485,-9999
2/28/2004,2,2,2004,200402,0.8239,0.6916,0.9639,1.0953,-9999,0.576,0.741,0.335,0.453,-9999
2/29/2004,2,2,2004,200402,0.8146,0.6185,0.9171,0.9663,-9999,0.559,0.819,0.331,0.446,-9999
3/1/2004,2,3,2004,200402,0.7978,0.5857,0.9099,0.9525,-9999,0.556,0.884,0.332,0.447,-9999
3/2/2004,2,3,2004,200402,0.7657,0.5625,0.9007,0.9287,-9999,0.598,0.866,0.344,0.470,-9999
3/3/2004,2,3,2004,200402,0.7913,0.5503,0.8837,0.7976,-9999,0.650,0.843,0.347,0.478,-9999
3/4/2004,2,3,2004,200402,0.7812,0.5459,0.8708,0.6457,-9999,0.636,0.860,0.345,0.473,-9999
3/5/2004,2,3,2004,200402,0.7396,0.5180,0.8436,0.9143,-9999,0.608,0.859,0.340,0.463,-9999
3/6/2004,2,3,2004,200402,0.7555,0.5225,0.8605,1.4198,-9999,0.688,0.927,0.374,0.531,-9999
3/7/2004,2,3,2004,200402,0.8585,0.6361,0.9552,1.6621,-9999,1.005,1.071,0.441,0.642,-9999
3/8/2004,2,3,2004,200402,1.0180,1.1692,1.1037,1.7253,-9999,1.086,1.223,0.535,0.808,-9999
3/9/2004,2,3,2004,200402,1.1771,1.5149,1.2611,1.8999,-9999,1.083,1.382,0.646,1.008,-9999
3/10/2004,2,3,2004,200402,1.3618,1.7554,1.4595,1.6505,-9999,1.032,1.548,0.756,1.190,-9999
3/11/2004,2,3,2004,200402,1.4245,1.6429,1.4110,1.4109,-9999,1.317,1.905,0.820,1.255,-9999
3/12/2004,2,3,2004,200402,1.4592,1.6096,1.4334,1.3837,-9999,1.698,2.118,0.872,1.290,-9999
3/13/2004,2,3,2004,200402,1.5184,1.5853,1.4627,1.4043,-9999,1.804,2.249,0.930,1.336,-9999
3/14/2004,2,3,2004,200402,1.6409,1.7422,1.5238,1.3751,-9999,1.807,2.556,1.032,1.509,-9999
3/15/2004,2,3,2004,200402,1.9199,2.0144,1.7394,1.4182,-9999,2.167,3.306,1.277,1.957,-9999
3/16/2004,2,3,2004,200402,2.0736,2.0527,1.8005,1.3510,-9999,2.218,3.529,1.413,2.200,-9999
3/17/2004,2,3,2004,200402,2.2189,2.0765,1.8580,1.3518,-9999,2.154,3.781,1.491,2.347,-9999
3/18/2004,2,3,2004,200402,2.3428,2.0902,1.8982,1.1665,-9999,2.311,4.089,1.651,2.381,-9999
3/19/2004,2,3,2004,200402,2.3041,1.9281,1.7825,1.0629,-9999,2.287,4.118,1.735,2.267,-9999
3/20/2004,2,3,2004,200402,2.3793,2.0737,1.8516,0.9988,-9999,2.484,4.420,1.955,2.551,-9999
3/21/2004,2,3,2004,200402,2.4006,1.9555,1.8259,0.9350,-9999,2.517,4.539,2.079,2.674,-9999
3/22/2004,2,3,2004,200402,2.4072,2.0744,1.7787,0.8927,-9999,2.578,4.595,2.251,2.848,-9999
3/23/2004,2,3,2004,200402,2.3117,1.4183,1.6697,0.8667,-9999,2.466,4.545,2.287,2.870,-9999
3/24/2004,2,3,2004,200402,2.2241,1.2786,1.5875,0.8555,-9999,2.388,4.664,2.407,2.922,-9999
3/25/2004,2,3,2004,200402,2.0406,1.1846,1.5440,0.9243,-9999,2.082,4.433,2.274,2.735,-9999
3/26/2004,2,3,2004,200402,2.1354,1.4807,1.7607,1.3506,-9999,2.161,4.032,2.102,2.470,-9999
3/27/2004,2,3,2004,200402,1.8643,1.2316,1.4499,1.0698,-9999,1.974,3.704,2.013,2.312,-9999
3/28/2004,2,3,2004,200402,1.8230,1.0743,1.3732,0.9643,-9999,2.013,3.871,2.208,2.365,-9999
3/29/2004,2,3,2004,200402,1.8833,0.9928,1.3209,0.8784,-9999,2.066,4.047,2.327,2.432,-9999
3/30/2004,2,3,2004,200402,1.8596,0.9273,1.2686,0.8367,-9999,2.145,4.172,2.473,2.547,-9999
3/31/2004,2,3,2004,200402,1.8016,0.8728,1.2209,0.8316,-9999,2.087,4.147,2.528,2.519,-9999
4/1/2004,3,4,2004,200403,1.7000,0.9082,1.3138,0.9472,-9999,1.944,3.811,2.477,2.234,-9999
4/2/2004,3,4,2004,200403,1.7412,0.9240,1.2716,0.8503,-9999,1.952,3.382,2.261,2.147,-9999
4/3/2004,3,4,2004,200403,1.6895,0.9035,1.2062,0.7711,-9999,1.862,3.358,2.338,2.162,-9999
4/4/2004,3,4,2004,200403,1.7531,0.8783,1.1834,0.7373,-9999,1.910,3.499,2.445,2.197,-9999
4/5/2004,3,4,2004,200403,1.7824,0.8458,1.1576,0.7184,-9999,2.046,3.828,2.723,2.462,-9999
4/6/2004,3,4,2004,200403,1.7731,0.8178,1.1297,0.7097,-9999,2.013,4.003,2.833,2.507,-9999
4/7/2004,3,4,2004,200403,1.7490,0.7804,1.1013,0.6935,-9999,2.023,4.090,3.161,2.541,-9999
4/8/2004,3,4,2004,200403,1.7452,0.7561,1.0870,0.6813,-9999,2.104,4.370,3.567,2.758,-9999
4/9/2004,3,4,2004,200403,1.7291,0.7222,1.0526,0.6535,-9999,2.112,4.534,3.957,2.891,-9999
4/10/2004,3,4,2004,200403,1.7164,0.6921,1.0302,0.6319,-9999,2.117,4.630,4.227,2.995,-9999
4/11/2004,3,4,2004,200403,1.6318,0.6531,0.9959,0.6056,-9999,2.066,4.641,4.393,3.016,-9999
4/12/2004,3,4,2004,200403,1.5401,0.6261,0.9745,0.5901,-9999,2.020,4.705,4.576,3.020,-9999
4/13/2004,3,4,2004,200403,1.4828,0.6048,0.9617,0.5806,-9999,1.921,4.545,4.361,2.832,-9999
4/14/2004,3,4,2004,200403,1.4169,0.5916,0.9597,0.5866,-9999,1.835,4.316,4.217,2.643,-9999
4/15/2004,3,4,2004,200403,1.3805,0.5832,0.9536,0.5898,-9999,1.756,4.035,3.973,2.528,-9999
4/16/2004,3,4,2004,200403,1.3149,0.5748,0.9529,0.5943,-9999,1.685,3.733,3.692,2.335,-9999
4/17/2004,3,4,2004,200403,1.3142,0.5861,1.0221,0.6513,-9999,1.736,3.489,3.425,2.172,-9999
4/18/2004,3,4,2004,200403,1.3032,0.5863,0.9924,0.6457,-9999,1.606,3.195,3.170,1.980,-9999
4/19/2004,3,4,2004,200403,1.3006,0.5923,0.9962,0.6417,-9999,1.739,3.081,3.043,1.908,-9999
4/20/2004,3,4,2004,200403,1.2479,0.5738,0.9517,0.6039,-9999,1.647,3.107,3.096,1.923,-9999
4/21/2004,3,4,2004,200403,1.2470,0.5543,0.9222,0.5778,-9999,1.543,3.138,3.133,1.949,-9999
4/22/2004,3,4,2004,200403,1.1996,0.5403,0.9102,0.5681,-9999,1.485,3.357,3.235,1.955,-9999
4/23/2004,3,4,2004,200403,1.1327,0.5133,0.8753,0.5391,-9999,1.421,3.474,3.526,1.958,-9999
4/24/2004,3,4,2004,200403,1.1108,0.4889,0.8605,0.5159,-9999,1.395,3.455,3.897,2.058,-9999
4/25/2004,3,4,2004,200403,1.0808,0.4668,0.8378,0.4956,-9999,1.350,3.692,4.344,2.191,-9999
4/26/2004,3,4,2004,200403,1.0456,0.4443,0.8177,0.4764,-9999,1.297,3.984,4.767,2.318,-9999
4/27/2004,3,4,2004,200403,1.0388,0.4291,0.8079,0.4632,-9999,1.257,4.003,5.343,2.469,-9999
4/28/2004,3,4,2004,200403,0.9907,0.4197,0.8037,0.4556,-9999,1.193,4.003,5.247,2.377,-9999
4/29/2004,3,4,2004,200403,0.9218,0.4081,0.7978,0.4489,-9999,1.143,4.081,4.832,2.190,-9999
4/30/2004,3,4,2004,200403,0.8813,0.3989,0.7950,0.4417,-9999,1.107,3.950,4.732,2.096,-9999
5/1/2004,3,5,2004,200403,0.8693,0.3883,0.7819,0.4296,-9999,1.061,3.981,4.920,2.109,-9999
5/2/2004,3,5,2004,200403,0.8322,0.3768,0.7709,0.4185,-9999,1.009,4.059,5.125,2.130,-9999
5/3/2004,3,5,2004,200403,0.7862,0.3648,0.7563,0.4052,-9999,0.956,4.082,5.239,2.129,-9999
5/4/2004,3,5,2004,200403,0.7197,0.3555,0.7509,0.3944,-9999,0.918,3.986,5.239,2.085,-9999
5/5/2004,3,5,2004,200403,0.6867,0.3467,0.7405,0.3873,-9999,0.875,3.622,4.859,1.938,-9999
5/6/2004,3,5,2004,200403,0.6787,0.3396,0.7347,0.3805,-9999,0.848,3.277,4.398,1.798,-9999
5/7/2004,3,5,2004,200403,0.6766,0.3330,0.7282,0.3734,-9999,0.818,3.079,4.107,1.696,-9999
5/8/2004,3,5,2004,200403,0.6716,0.3339,0.7352,0.3804,-9999,0.825,2.966,3.948,1.624,-9999
5/9/2004,3,5,2004,200403,0.6683,0.3315,0.7364,0.3781,-9999,0.797,2.803,3.531,1.547,-9999
5/10/2004,3,5,2004,200403,0.6604,0.3319,0.7377,0.3779,-9999,0.817,2.658,3.355,1.465,-9999
5/11/2004,3,5,2004,200403,0.5922,0.3291,0.7428,0.3807,-9999,0.829,2.541,2.991,1.400,-9999
5/12/2004,3,5,2004,200403,0.5536,0.3249,0.7360,0.3734,-9999,0.799,2.459,2.868,1.345,-9999
5/13/2004,3,5,2004,200403,0.5631,0.3134,0.7210,0.3575,-9999,0.751,2.338,2.737,1.295,-9999
5/14/2004,3,5,2004,200403,0.5409,0.3037,0.7072,0.3417,-9999,0.699,2.227,2.607,1.237,-9999
5/15/2004,3,5,2004,200403,0.5199,0.2950,0.7063,0.3364,-9999,0.687,2.151,2.513,1.191,-9999
